max_age,n_init,max_iou_distance,mota
5,1,0.8,-1.7542492917847023
5,1,0.9,-1.7195467422096318
5,5,0.8,-0.6196883852691217
5,5,0.9,-0.6494334277620397
5,10,0.8,-0.3427762039660056
5,10,0.9,-0.3725212464589236
5,15,0.8,-0.2429178470254958
5,15,0.9,-0.2464589235127479
10,1,0.8,-2.9390934844192635
10,1,0.9,-2.9058073654390935
10,5,0.8,-0.8696883852691217
10,5,0.9,-0.9143059490084986
10,10,0.8,-0.4943342776203965
10,10,0.9,-0.5311614730878187
10,15,0.8,-0.33711048158640233
10,15,0.9,-0.34419263456090654
15,1,0.8,-4.0941926345609065
15,1,0.9,-4.041784702549575
15,5,0.8,-1.1253541076487252
15,5,0.9,-1.1876770538243626
15,10,0.8,-0.6126062322946175
15,10,0.9,-0.6565155807365439
15,15,0.8,-0.4235127478753542
15,15,0.9,-0.4341359773371105
20,1,0.8,-5.225920679886686
20,1,0.9,-5.193342776203966
20,5,0.8,-1.3562322946175636
20,5,0.9,-1.4362606232294617
20,10,0.8,-0.7160056657223797
20,10,0.9,-0.7669971671388103
20,15,0.8,-0.5021246458923512
20,15,0.9,-0.5162889518413598
